################################################################
# abuse.ch SSLBL Extended                                      #
# Last updated: 2018-11-06 13:30:01 (UTC)                      #
#                                                              #
# Terms Of Use: https://sslbl.abuse.ch/blacklist/              #
# For questions please contact sslbl [at] abuse.ch             #
################################################################
#
# Timestamp of Listing (UTC),Referencing Sample (MD5),Destination IP,Destination Port,SSL certificate SHA1 Fingerprint,Listing reason
2018-11-05 15:10:41,4d8987947b3a51c8817e76e113466019,95.181.198.72,443,e95a3388c2a796fbe05ec11e1ff5bcb4b67260f5,Gozi C&C
2018-11-05 15:10:41,7c5dc9c653054f77a6e1e8a774302da9,95.181.198.72,443,e95a3388c2a796fbe05ec11e1ff5bcb4b67260f5,Gozi C&C
2018-11-05 15:10:41,1cd12137aa78ca30957a5b3f1bff1766,95.181.198.72,443,e95a3388c2a796fbe05ec11e1ff5bcb4b67260f5,Gozi C&C
2018-11-05 15:10:41,eccadaf1b40a4193994ce50ac8249ddb,95.181.198.72,443,e95a3388c2a796fbe05ec11e1ff5bcb4b67260f5,Gozi C&C
2018-11-05 15:10:41,e3c7ce3dd2bc0b5d56df86636d9bcd16,95.181.198.72,443,e95a3388c2a796fbe05ec11e1ff5bcb4b67260f5,Gozi C&C
2018-11-05 15:10:41,89ddda601ff8c57df0a5d136a4e371fe,95.181.198.72,443,e95a3388c2a796fbe05ec11e1ff5bcb4b67260f5,Gozi C&C
2018-11-05 15:10:41,6db26520310f49ef6a473d4975c531d1,95.181.198.72,443,e95a3388c2a796fbe05ec11e1ff5bcb4b67260f5,Gozi C&C
2018-11-05 15:10:41,b982b09e7651610c78715150173d9ebb,95.181.198.72,443,e95a3388c2a796fbe05ec11e1ff5bcb4b67260f5,Gozi C&C
2018-11-05 15:10:41,97b218a44d2816acee0900a6a547b93b,95.181.198.72,443,e95a3388c2a796fbe05ec11e1ff5bcb4b67260f5,Gozi C&C
2018-11-05 15:10:41,c9f17b3d83b65886a8b86c2f7a31ae88,95.181.198.72,443,e95a3388c2a796fbe05ec11e1ff5bcb4b67260f5,Gozi C&C
